MONTHLY PANEL VISUAL INSPECTION CHECKLIST

Floor,Room,Panel Name,Panel Type,Voltage,Inspection Date,Inspected By,Condition,Notes/Issues
3rd Floor,ZL3.114,ELDP-CR-H1,Feeder Panel,208Y/120V,,,,
3rd Floor,ZL3.114,LDP-H2,Feeder Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-3A,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-3E,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-3D,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-CR-3A,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-CR-3E,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-CR-3F,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.130H,LP-CR-3F Sec 2,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.538,HP-3A,Branch Panel,480Y/277V,,,,
3rd Floor,ZL3.538,HP-CR-3A,Branch Panel,480Y/277V,,,,
3rd Floor,ZL3.538,LP-3B,Branch Panel,208Y/120V,,,,
3rd Floor,ZL3.538,LP-CR-3B,Branch Panel,208Y/120V,,,,
4th Floor,ZL4.331,HP-CR-4A,Branch Panel,480Y/277V,,,,
4th Floor,ZL4.331,LP-4B,Branch Panel,208Y/120V,,,,
4th Floor,ZL4.331,LP-CR-4A,Branch Panel,208Y/120V,,,,
4th Floor,ZL4.331,LP-4A,Branch Panel,208Y/120V,,,,
4th Floor,ZL4.331,LP-4A Section 2,Branch Panel,208Y/120V,,,,
4th Floor,ZL4.331,HP-4A,Branch Panel,480Y/277V,,,,
4th Floor,ZL4.331,LP-CR-4B,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,HP-CR-5A,Branch Panel,480Y/277V,,,,
5th Floor,ZL5.236,LP-CR-5A,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,LP-CR-5B,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,LP-5A,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,LP-5A Section 2,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,HP-5A,Branch Panel,480Y/277V,,,,
5th Floor,ZL5.236,LP-5B,Branch Panel,208Y/120V,,,,
5th Floor,ZL5.236,HP-LS-5A,Branch Panel,480Y/277V,,,,
5th Floor,ZL5.236,LP-LS-5A,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,HP-CR-6A,Branch Panel,480Y/277V,,,,
6th Floor,ZL6.236,LP-CR-6C,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,LP-CR-6A,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,LP-6A,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,LP-6A SECTION 2,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,HP-6A,Branch Panel,480Y/277V,,,,
6th Floor,ZL6.236,LP-6B,Branch Panel,208Y/120V,,,,
6th Floor,ZL6.236,LP-CR-6B,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,LP-CR-7BA,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,HP-CR-7A,Branch Panel,480Y/277V,,,,
7th Floor,ZL7.236,LP-CR-7A,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,LP-7A,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,LP-7A SECTION 2,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,HP-7A,Branch Panel,480Y/277V,,,,
7th Floor,ZL7.236,LP-7B,Branch Panel,208Y/120V,,,,
7th Floor,ZL7.236,LP-CR-7B,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,HP-CR-8A,Branch Panel,480Y/277V,,,,
8th Floor,ZL8.224,LP-CR-8A,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,LP-CR-8B,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,HP-LS-8A,Branch Panel,480Y/277V,,,,
8th Floor,ZL8.224,LP-LS-8A,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,HP-8A,Branch Panel,480Y/277V,,,,
8th Floor,ZL8.224,LP-8A,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,LP-8A Section 2,Branch Panel,208Y/120V,,,,
8th Floor,ZL8.224,LP-8B,Branch Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,LP-9A,Branch Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,E HDP-CR-HPH,Feeder Panel,480Y/277V,,,,
9th Floor,9th Floor Electrical Room,ELDP-CR-HPH,Feeder Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,ELDP-CR-HPH1,Feeder Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,LDP-PH1,Feeder Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,LDP-PH,Feeder Panel,208Y/120V,,,,
9th Floor,9th Floor Electrical Room,HDP-PH,Feeder Panel,480Y/277V,,,,
9th Floor,9th Floor Elevator Room 1,FRT ELEV LOAD CENTER,Branch Panel,,,,,
9th Floor,9th Floor Elevator Room 1,DP-2,Feeder Panel,480Y/277V,,,,
9th Floor,9th Floor Elevator Room 2,PASS ELEV LOAD CENTER,Branch Panel,,,,,
9th Floor,9th Floor Elevator Room 2,DP-1,Feeder Panel,480Y/277V,,,,
9th Floor,Penthouse General Area,MD-PH,Feeder Panel,480Y/277V,,,,
9th Floor,Penthouse General Area,HP-PH,Feeder Panel,480Y/277V,,,,
9th Floor,Penthouse General Area,LP-PH,Feeder Panel,208Y/120V,,,,
9th Floor,Penthouse General Area,LP-EQ-PH,Feeder Panel,208Y/120V,,,,
